Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/04/2025,,,Date,02/04/2025,,,
Time,16:21:13,,,Time,16:21:13,,,
LATITUDE,-7,12,42.617,,LATITUDE,-7,12,42.617,,
LONGITUDE,-35,54,30.142,,LONGITUDE,-35,54,30.142,,
ALTITUDE,582.4,,ALTITUDE,582.4,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,115.2,dBµV/m,,Ref Level,115.2,dBµV/m,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400P-UWB,,,Primary Transducer,HE400P-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBµV/m],,,Frequency [Hz],Magnitude [dBµV/m],,,
50000000,51.8711318969727,,,50000000,42.0399398803711,,,
52183098.5915493,49.6982192993164,,,52183098.5915493,41.8999671936035,,,
54366197.1830986,48.5542755126953,,,54366197.1830986,39.3510437011719,,,
56549295.7746479,47.6240310668945,,,56549295.7746479,40.3080558776855,,,
58732394.3661972,48.1349258422852,,,58732394.3661972,41.1465225219727,,,
60915492.9577465,50.0575332641602,,,60915492.9577465,41.0107383728027,,,
63098591.5492958,49.0472183227539,,,63098591.5492958,40.146842956543,,,
65281690.1408451,48.0550079345703,,,65281690.1408451,39.9706039428711,,,
67464788.7323944,48.7616577148438,,,67464788.7323944,39.3855209350586,,,
69647887.3239437,47.9589538574219,,,69647887.3239437,40.6805992126465,,,
71830985.915493,45.7638931274414,,,71830985.915493,38.8928146362305,,,
74014084.5070423,48.5474624633789,,,74014084.5070423,38.6442451477051,,,
76197183.0985916,46.696159362793,,,76197183.0985916,38.3928031921387,,,
78380281.6901408,49.3807067871094,,,78380281.6901408,38.0034980773926,,,
80563380.2816902,47.0364151000977,,,80563380.2816902,37.8080062866211,,,
82746478.8732394,45.4082489013672,,,82746478.8732394,38.246997833252,,,
84929577.4647887,45.6360626220703,,,84929577.4647887,36.9358711242676,,,
87112676.056338,44.9632568359375,,,87112676.056338,36.8934707641602,,,
89295774.6478873,44.4698638916016,,,89295774.6478873,37.2972221374512,,,
91478873.2394366,44.2316513061523,,,91478873.2394366,35.7309188842773,,,
93661971.8309859,44.7828521728516,,,93661971.8309859,36.5479698181152,,,
95845070.4225352,43.5955276489258,,,95845070.4225352,35.1554870605469,,,
98028169.0140845,43.5450057983398,,,98028169.0140845,35.613452911377,,,
100211267.605634,42.651481628418,,,100211267.605634,34.9915428161621,,,
102394366.197183,44.580451965332,,,102394366.197183,34.346622467041,,,
104577464.788732,43.2564544677734,,,104577464.788732,35.6541976928711,,,
106760563.380282,42.8576965332031,,,106760563.380282,35.7245864868164,,,
108943661.971831,43.2246246337891,,,108943661.971831,35.5875205993652,,,
111126760.56338,42.5175476074219,,,111126760.56338,35.8763580322266,,,
113309859.15493,42.1631851196289,,,113309859.15493,35.2044105529785,,,
115492957.746479,43.2528610229492,,,115492957.746479,35.7534065246582,,,
117676056.338028,41.8314895629883,,,117676056.338028,34.6350364685059,,,
119859154.929577,41.5478515625,,,119859154.929577,34.5901184082031,,,
122042253.521127,42.7329864501953,,,122042253.521127,34.1438064575195,,,
124225352.112676,41.2000045776367,,,124225352.112676,34.6108551025391,,,
126408450.704225,41.8182067871094,,,126408450.704225,33.110538482666,,,
128591549.295775,41.559814453125,,,128591549.295775,34.8021774291992,,,
130774647.887324,42.5832214355469,,,130774647.887324,33.3245735168457,,,
132957746.478873,39.5772552490234,,,132957746.478873,33.0424461364746,,,
135140845.070423,41.246467590332,,,135140845.070423,33.9922561645508,,,
137323943.661972,42.2110748291016,,,137323943.661972,34.4115715026855,,,
139507042.253521,41.1329116821289,,,139507042.253521,33.9283561706543,,,
141690140.84507,40.8127517700195,,,141690140.84507,34.3169593811035,,,
143873239.43662,42.3157424926758,,,143873239.43662,33.494571685791,,,
146056338.028169,42.5455093383789,,,146056338.028169,32.8000831604004,,,
148239436.619718,40.8670501708984,,,148239436.619718,32.7885246276855,,,
150422535.211268,37.7659454345703,,,150422535.211268,32.8566932678223,,,
152605633.802817,40.4680023193359,,,152605633.802817,33.2423133850098,,,
154788732.394366,38.8416137695313,,,154788732.394366,32.9983291625977,,,
156971830.985915,39.7335510253906,,,156971830.985915,31.5889701843262,,,
159154929.577465,38.8004837036133,,,159154929.577465,31.3315143585205,,,
161338028.169014,39.7360229492188,,,161338028.169014,32.1401786804199,,,
163521126.760563,42.1663436889648,,,163521126.760563,32.3870468139648,,,
165704225.352113,41.877555847168,,,165704225.352113,32.6754150390625,,,
167887323.943662,38.9309310913086,,,167887323.943662,31.5926418304443,,,
170070422.535211,41.2760772705078,,,170070422.535211,32.2289352416992,,,
172253521.126761,41.3337631225586,,,172253521.126761,31.9760131835938,,,
174436619.71831,41.5587310791016,,,174436619.71831,33.1940879821777,,,
176619718.309859,40.2497253417969,,,176619718.309859,32.4889297485352,,,
178802816.901408,42.3289489746094,,,178802816.901408,32.4039459228516,,,
180985915.492958,40.493896484375,,,180985915.492958,32.1512336730957,,,
183169014.084507,40.0153961181641,,,183169014.084507,32.9705505371094,,,
185352112.676056,38.5308303833008,,,185352112.676056,32.7277946472168,,,
187535211.267606,39.0600967407227,,,187535211.267606,32.0481834411621,,,
189718309.859155,38.9231948852539,,,189718309.859155,31.9164619445801,,,
191901408.450704,40.0785140991211,,,191901408.450704,30.347074508667,,,
194084507.042254,39.9677886962891,,,194084507.042254,32.1589546203613,,,
196267605.633803,39.6908874511719,,,196267605.633803,32.0124816894531,,,
198450704.225352,37.2680130004883,,,198450704.225352,31.5215225219727,,,
200633802.816901,38.2396774291992,,,200633802.816901,32.3382339477539,,,
202816901.408451,38.2351608276367,,,202816901.408451,31.6193389892578,,,
205000000,37.2284240722656,,,205000000,30.6945037841797,,,
207183098.591549,38.8002853393555,,,207183098.591549,29.9787921905518,,,
209366197.183099,38.1106109619141,,,209366197.183099,30.9714260101318,,,
211549295.774648,39.1603469848633,,,211549295.774648,30.8632583618164,,,
213732394.366197,37.1220321655273,,,213732394.366197,30.4653911590576,,,
215915492.957747,36.6410751342773,,,215915492.957747,30.9028701782227,,,
218098591.549296,37.0131454467773,,,218098591.549296,29.7461624145508,,,
220281690.140845,36.817741394043,,,220281690.140845,29.9110870361328,,,
222464788.732394,38.8187561035156,,,222464788.732394,30.0575275421143,,,
224647887.323944,34.9989318847656,,,224647887.323944,29.1440181732178,,,
226830985.915493,36.2430953979492,,,226830985.915493,28.4741458892822,,,
229014084.507042,38.5466156005859,,,229014084.507042,28.7159786224365,,,
231197183.098592,36.0152435302734,,,231197183.098592,28.3923892974854,,,
233380281.690141,35.4509963989258,,,233380281.690141,29.4954814910889,,,
235563380.28169,37.6230773925781,,,235563380.28169,29.0049171447754,,,
237746478.873239,36.9396209716797,,,237746478.873239,28.1561222076416,,,
239929577.464789,37.0646057128906,,,239929577.464789,28.1571292877197,,,
242112676.056338,36.1449356079102,,,242112676.056338,27.0317764282227,,,
244295774.647887,37.6915817260742,,,244295774.647887,27.5376758575439,,,
246478873.239437,36.2644729614258,,,246478873.239437,28.0034122467041,,,
248661971.830986,34.492073059082,,,248661971.830986,26.948938369751,,,
250845070.422535,33.9745483398438,,,250845070.422535,26.8911666870117,,,
253028169.014085,34.4142456054688,,,253028169.014085,27.2458381652832,,,
255211267.605634,35.7459106445313,,,255211267.605634,26.4811134338379,,,
257394366.197183,35.1845245361328,,,257394366.197183,26.9328422546387,,,
259577464.788732,34.0860443115234,,,259577464.788732,27.4292011260986,,,
261760563.380282,36.0051193237305,,,261760563.380282,26.9483108520508,,,
263943661.971831,31.7064361572266,,,263943661.971831,25.473051071167,,,
266126760.56338,36.73046875,,,266126760.56338,25.7091331481934,,,
268309859.15493,36.4171142578125,,,268309859.15493,27.1326751708984,,,
270492957.746479,35.910041809082,,,270492957.746479,26.6295623779297,,,
272676056.338028,32.9166412353516,,,272676056.338028,26.5743236541748,,,
274859154.929577,33.8144226074219,,,274859154.929577,27.4033870697021,,,
