Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/11/2025,,,Date,02/11/2025,,,
Time,19:20:26,,,Time,19:20:26,,,
LATITUDE,-7,2,33.301,,LATITUDE,-7,2,33.301,,
LONGITUDE,-38,16,2.558,,LONGITUDE,-38,16,2.558,,
ALTITUDE,386.8,,ALTITUDE,386.8,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400A-UWB,,,Primary Transducer,HE400A-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-95.5051574707031,,,50000000,-108.070343017578,,,
52183098.5915493,-96.8271331787109,,,52183098.5915493,-107.172286987305,,,
54366197.1830986,-99.2499008178711,,,54366197.1830986,-108.121490478516,,,
56549295.7746479,-101.695846557617,,,56549295.7746479,-109.676979064941,,,
58732394.3661972,-97.0015182495117,,,58732394.3661972,-108.978538513184,,,
60915492.9577465,-91.7590103149414,,,60915492.9577465,-101.592102050781,,,
63098591.5492958,-95.3461456298828,,,63098591.5492958,-108.12281036377,,,
65281690.1408451,-95.6923599243164,,,65281690.1408451,-107.064979553223,,,
67464788.7323944,-96.4042434692383,,,67464788.7323944,-104.564552307129,,,
69647887.3239437,-96.8863220214844,,,69647887.3239437,-109.451583862305,,,
