Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/12/2025,,,Date,02/12/2025,,,
Time,19:35:35,,,Time,19:35:35,,,
LATITUDE,-7,2,33.350,,LATITUDE,-7,2,33.350,,
LONGITUDE,-38,16,0.998,,LONGITUDE,-38,16,0.998,,
ALTITUDE,396.7,,ALTITUDE,396.7,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400A-UWB,,,Primary Transducer,HE400A-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-100.60774230957,,,50000000,-109.023460388184,,,
52183098.5915493,-97.6319808959961,,,52183098.5915493,-106.150695800781,,,
54366197.1830986,-99.9844818115234,,,54366197.1830986,-109.847694396973,,,
56549295.7746479,-100.927001953125,,,56549295.7746479,-110.563377380371,,,
58732394.3661972,-102.841720581055,,,58732394.3661972,-109.943367004395,,,
60915492.9577465,-92.9613723754883,,,60915492.9577465,-99.6191101074219,,,
63098591.5492958,-103.377212524414,,,63098591.5492958,-110.015197753906,,,
65281690.1408451,-100.638740539551,,,65281690.1408451,-110.542327880859,,,
67464788.7323944,-98.3780517578125,,,67464788.7323944,-109.43293762207,,,
69647887.3239437,-99.2427139282227,,,69647887.3239437,-109.655937194824,,,
71830985.915493,-98.4564056396484,,,71830985.915493,-109.184677124023,,,
