Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/12/2025,,,Date,02/12/2025,,,
Time,16:38:44,,,Time,16:38:44,,,
LATITUDE,-7,2,27.469,,LATITUDE,-7,2,27.469,,
LONGITUDE,-38,16,7.084,,LONGITUDE,-38,16,7.084,,
ALTITUDE,403.7,,ALTITUDE,403.7,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400A-UWB,,,Primary Transducer,HE400A-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-99.3502960205078,,,50000000,-110.278602600098,,,
52183098.5915493,-98.6579742431641,,,52183098.5915493,-107.332740783691,,,
54366197.1830986,-101.942855834961,,,54366197.1830986,-110.040069580078,,,
56549295.7746479,-102.312515258789,,,56549295.7746479,-110.123825073242,,,
58732394.3661972,-103.840408325195,,,58732394.3661972,-110.74885559082,,,
60915492.9577465,-94.9580535888672,,,60915492.9577465,-104.989120483398,,,
63098591.5492958,-98.659782409668,,,63098591.5492958,-110.087776184082,,,
65281690.1408451,-98.195068359375,,,65281690.1408451,-110.846740722656,,,
67464788.7323944,-100.479476928711,,,67464788.7323944,-109.551734924316,,,
69647887.3239437,-100.945869445801,,,69647887.3239437,-109.929161071777,,,
71830985.915493,-96.4819412231445,,,71830985.915493,-109.615081787109,,,
74014084.5070423,-102.386909484863,,,74014084.5070423,-110.661895751953,,,
76197183.0985916,-97.8878479003906,,,76197183.0985916,-110.329132080078,,,
78380281.6901408,-98.0554580688477,,,78380281.6901408,-110.781150817871,,,
80563380.2816902,-101.271766662598,,,80563380.2816902,-111.422340393066,,,
82746478.8732394,-103.230545043945,,,82746478.8732394,-110.670227050781,,,
84929577.4647887,-101.689109802246,,,84929577.4647887,-109.504684448242,,,
87112676.056338,-103.49095916748,,,87112676.056338,-110.389472961426,,,
89295774.6478873,-102.144668579102,,,89295774.6478873,-109.314407348633,,,
91478873.2394366,-99.7101593017578,,,91478873.2394366,-109.925331115723,,,
93661971.8309859,-104.185188293457,,,93661971.8309859,-110.224586486816,,,
95845070.4225352,-102.309196472168,,,95845070.4225352,-109.635070800781,,,
98028169.0140845,-102.453567504883,,,98028169.0140845,-110.00757598877,,,
100211267.605634,-101.791313171387,,,100211267.605634,-110.569915771484,,,
