Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/12/2025,,,Date,02/12/2025,,,
Time,19:59:03,,,Time,19:59:03,,,
LATITUDE,-7,2,33.291,,LATITUDE,-7,2,33.291,,
LONGITUDE,-38,16,0.991,,LONGITUDE,-38,16,0.991,,
ALTITUDE,392.6,,ALTITUDE,392.6,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400A-UWB,,,Primary Transducer,HE400A-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-100.804748535156,,,50000000,-109.158264160156,,,
52183098.5915493,-96.7626266479492,,,52183098.5915493,-106.641914367676,,,
54366197.1830986,-103.84986114502,,,54366197.1830986,-110.892929077148,,,
56549295.7746479,-103.040901184082,,,56549295.7746479,-111.043548583984,,,
58732394.3661972,-104.034317016602,,,58732394.3661972,-111.013473510742,,,
60915492.9577465,-93.1862030029297,,,60915492.9577465,-102.864921569824,,,
63098591.5492958,-97.4025268554688,,,63098591.5492958,-109.939254760742,,,
65281690.1408451,-97.8307952880859,,,65281690.1408451,-110.001914978027,,,
67464788.7323944,-100.186462402344,,,67464788.7323944,-110.492210388184,,,
69647887.3239437,-98.7550582885742,,,69647887.3239437,-110.356315612793,,,
71830985.915493,-101.374961853027,,,71830985.915493,-110.231315612793,,,
74014084.5070423,-101.739402770996,,,74014084.5070423,-110.790313720703,,,
76197183.0985916,-99.207389831543,,,76197183.0985916,-109.673873901367,,,
78380281.6901408,-101.438819885254,,,78380281.6901408,-110.000205993652,,,
80563380.2816902,-100.497840881348,,,80563380.2816902,-109.553329467773,,,
82746478.8732394,-102.705146789551,,,82746478.8732394,-110.994659423828,,,
84929577.4647887,-97.08984375,,,84929577.4647887,-110.128707885742,,,
87112676.056338,-102.317504882813,,,87112676.056338,-111.863945007324,,,
89295774.6478873,-100.361549377441,,,89295774.6478873,-110.965644836426,,,
91478873.2394366,-102.012733459473,,,91478873.2394366,-109.728935241699,,,
93661971.8309859,-102.760597229004,,,93661971.8309859,-110.64427947998,,,
95845070.4225352,-101.158493041992,,,95845070.4225352,-110.298057556152,,,
98028169.0140845,-101.892517089844,,,98028169.0140845,-110.872413635254,,,
100211267.605634,-101.013534545898,,,100211267.605634,-111.166481018066,,,
102394366.197183,-103.851013183594,,,102394366.197183,-111.089111328125,,,
104577464.788732,-104.446754455566,,,104577464.788732,-112.245559692383,,,
106760563.380282,-103.65901184082,,,106760563.380282,-111.036819458008,,,
108943661.971831,-103.78539276123,,,108943661.971831,-110.494323730469,,,
111126760.56338,-102.280075073242,,,111126760.56338,-110.121002197266,,,
113309859.15493,-102.284461975098,,,113309859.15493,-109.444557189941,,,
115492957.746479,-100.250411987305,,,115492957.746479,-110.757858276367,,,
117676056.338028,-100.427093505859,,,117676056.338028,-110.573722839355,,,
119859154.929577,-101.574272155762,,,119859154.929577,-110.374435424805,,,
122042253.521127,-103.689170837402,,,122042253.521127,-111.66918182373,,,
124225352.112676,-98.8326187133789,,,124225352.112676,-110.216728210449,,,
126408450.704225,-104.091491699219,,,126408450.704225,-111.2998046875,,,
128591549.295775,-104.294876098633,,,128591549.295775,-110.662643432617,,,
130774647.887324,-102.318023681641,,,130774647.887324,-109.818626403809,,,
132957746.478873,-103.199516296387,,,132957746.478873,-109.492752075195,,,
135140845.070423,-101.214454650879,,,135140845.070423,-110.276832580566,,,
137323943.661972,-101.90559387207,,,137323943.661972,-111.318733215332,,,
139507042.253521,-100.997344970703,,,139507042.253521,-109.408737182617,,,
141690140.84507,-102.892379760742,,,141690140.84507,-110.092552185059,,,
143873239.43662,-103.478729248047,,,143873239.43662,-110.686630249023,,,
146056338.028169,-102.986351013184,,,146056338.028169,-111.018096923828,,,
148239436.619718,-101.886573791504,,,148239436.619718,-110.430641174316,,,
150422535.211268,-102.423530578613,,,150422535.211268,-111.19310760498,,,
152605633.802817,-102.772590637207,,,152605633.802817,-109.772239685059,,,
154788732.394366,-104.581939697266,,,154788732.394366,-109.61841583252,,,
156971830.985915,-104.423072814941,,,156971830.985915,-111.865524291992,,,
159154929.577465,-104.219123840332,,,159154929.577465,-111.087882995605,,,
161338028.169014,-101.997436523438,,,161338028.169014,-109.926063537598,,,
163521126.760563,-102.588844299316,,,163521126.760563,-110.353698730469,,,
165704225.352113,-101.131729125977,,,165704225.352113,-110.343788146973,,,
167887323.943662,-101.219841003418,,,167887323.943662,-109.549255371094,,,
170070422.535211,-102.345367431641,,,170070422.535211,-110.077033996582,,,
172253521.126761,-99.5603485107422,,,172253521.126761,-109.320648193359,,,
174436619.71831,-101.633293151855,,,174436619.71831,-109.125732421875,,,
176619718.309859,-99.3165664672852,,,176619718.309859,-107.804992675781,,,
178802816.901408,-99.3110122680664,,,178802816.901408,-109.589286804199,,,
180985915.492958,-97.2901763916016,,,180985915.492958,-108.493721008301,,,
183169014.084507,-97.2971725463867,,,183169014.084507,-108.378799438477,,,
185352112.676056,-96.7528686523438,,,185352112.676056,-107.586280822754,,,
187535211.267606,-93.5755004882813,,,187535211.267606,-107.491523742676,,,
189718309.859155,-92.3996124267578,,,189718309.859155,-107.709899902344,,,
191901408.450704,-98.6314468383789,,,191901408.450704,-107.987098693848,,,
194084507.042254,-96.5962982177734,,,194084507.042254,-107.494987487793,,,
196267605.633803,-97.6219177246094,,,196267605.633803,-107.84326171875,,,
198450704.225352,-98.4906692504883,,,198450704.225352,-108.391944885254,,,
200633802.816901,-97.8653030395508,,,200633802.816901,-107.924865722656,,,
