Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/12/2025,,,Date,02/12/2025,,,
Time,08:57:46,,,Time,08:57:46,,,
LATITUDE,-7,2,26.420,,LATITUDE,-7,2,26.420,,
LONGITUDE,-38,16,6.821,,LONGITUDE,-38,16,6.821,,
ALTITUDE,370.8,,ALTITUDE,370.8,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400A-UWB,,,Primary Transducer,HE400A-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-97.690055847168,,,50000000,-109.215156555176,,,
52183098.5915493,-95.6979904174805,,,52183098.5915493,-106.390426635742,,,
54366197.1830986,-101.100608825684,,,54366197.1830986,-110.674308776855,,,
56549295.7746479,-99.7699279785156,,,56549295.7746479,-109.561103820801,,,
58732394.3661972,-103.398727416992,,,58732394.3661972,-110.44108581543,,,
60915492.9577465,-91.9199676513672,,,60915492.9577465,-99.2538833618164,,,
63098591.5492958,-97.5304489135742,,,63098591.5492958,-109.953224182129,,,
65281690.1408451,-102.23575592041,,,65281690.1408451,-109.809158325195,,,
67464788.7323944,-99.2679672241211,,,67464788.7323944,-108.992683410645,,,
69647887.3239437,-95.6631851196289,,,69647887.3239437,-109.26692199707,,,
71830985.915493,-98.4125366210938,,,71830985.915493,-109.619598388672,,,
74014084.5070423,-99.8339691162109,,,74014084.5070423,-109.098838806152,,,
76197183.0985916,-98.7726974487305,,,76197183.0985916,-109.992218017578,,,
78380281.6901408,-96.7564239501953,,,78380281.6901408,-109.657135009766,,,
80563380.2816902,-102.032447814941,,,80563380.2816902,-112.148017883301,,,
82746478.8732394,-101.946769714355,,,82746478.8732394,-111.429641723633,,,
84929577.4647887,-100.454170227051,,,84929577.4647887,-109.256591796875,,,
87112676.056338,-101.624588012695,,,87112676.056338,-109.690788269043,,,
89295774.6478873,-101.532295227051,,,89295774.6478873,-109.237014770508,,,
