Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/13/2025,,,Date,02/13/2025,,,
Time,08:39:52,,,Time,08:39:52,,,
LATITUDE,-7,2,30.355,,LATITUDE,-7,2,30.355,,
LONGITUDE,-38,15,58.371,,LONGITUDE,-38,15,58.371,,
ALTITUDE,352.6,,ALTITUDE,352.6,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,HE400A-UWB,,,Primary Transducer,HE400A-UWB,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-101.185676574707,,,50000000,-109.199798583984,,,
52183098.5915493,-97.8075866699219,,,52183098.5915493,-105.517295837402,,,
54366197.1830986,-100.449356079102,,,54366197.1830986,-110.787490844727,,,
56549295.7746479,-101.770599365234,,,56549295.7746479,-110.585601806641,,,
58732394.3661972,-98.7687683105469,,,58732394.3661972,-109.940536499023,,,
60915492.9577465,-99.7049179077148,,,60915492.9577465,-107.748954772949,,,
63098591.5492958,-95.7304077148438,,,63098591.5492958,-109.476776123047,,,
65281690.1408451,-96.7742614746094,,,65281690.1408451,-110.742736816406,,,
67464788.7323944,-102.428810119629,,,67464788.7323944,-111.596496582031,,,
69647887.3239437,-97.2551422119141,,,69647887.3239437,-110.41487121582,,,
71830985.915493,-100.723503112793,,,71830985.915493,-110.748229980469,,,
74014084.5070423,-103.013656616211,,,74014084.5070423,-110.117088317871,,,
76197183.0985916,-100.96346282959,,,76197183.0985916,-110.520576477051,,,
78380281.6901408,-101.878303527832,,,78380281.6901408,-111.424919128418,,,
80563380.2816902,-104.580085754395,,,80563380.2816902,-111.044616699219,,,
82746478.8732394,-105.25080871582,,,82746478.8732394,-111.803001403809,,,
84929577.4647887,-99.7337875366211,,,84929577.4647887,-110.208213806152,,,
87112676.056338,-103.783752441406,,,87112676.056338,-112.204658508301,,,
89295774.6478873,-100.038871765137,,,89295774.6478873,-111.458030700684,,,
91478873.2394366,-100.129592895508,,,91478873.2394366,-110.424880981445,,,
93661971.8309859,-103.992721557617,,,93661971.8309859,-111.617340087891,,,
95845070.4225352,-104.025955200195,,,95845070.4225352,-110.967979431152,,,
98028169.0140845,-103.196403503418,,,98028169.0140845,-111.443672180176,,,
100211267.605634,-103.165260314941,,,100211267.605634,-110.189880371094,,,
102394366.197183,-101.836669921875,,,102394366.197183,-110.859962463379,,,
104577464.788732,-101.888496398926,,,104577464.788732,-111.642951965332,,,
106760563.380282,-101.391174316406,,,106760563.380282,-112.03401184082,,,
108943661.971831,-100.794578552246,,,108943661.971831,-112.035217285156,,,
111126760.56338,-100.661643981934,,,111126760.56338,-111.173866271973,,,
113309859.15493,-103.725914001465,,,113309859.15493,-110.946739196777,,,
115492957.746479,-103.447746276855,,,115492957.746479,-111.33708190918,,,
117676056.338028,-100.845252990723,,,117676056.338028,-110.364212036133,,,
119859154.929577,-103.154624938965,,,119859154.929577,-111.263557434082,,,
122042253.521127,-102.369087219238,,,122042253.521127,-111.226432800293,,,
124225352.112676,-101.531845092773,,,124225352.112676,-109.974540710449,,,
126408450.704225,-101.65202331543,,,126408450.704225,-111.104362487793,,,
128591549.295775,-103.195068359375,,,128591549.295775,-110.251197814941,,,
130774647.887324,-101.744087219238,,,130774647.887324,-111.289733886719,,,
132957746.478873,-101.840728759766,,,132957746.478873,-109.511276245117,,,
135140845.070423,-103.511962890625,,,135140845.070423,-109.701217651367,,,
137323943.661972,-103.968048095703,,,137323943.661972,-110.488700866699,,,
139507042.253521,-102.00040435791,,,139507042.253521,-111.854484558105,,,
141690140.84507,-103.770805358887,,,141690140.84507,-112.298965454102,,,
143873239.43662,-104.337188720703,,,143873239.43662,-110.797927856445,,,
146056338.028169,-104.336158752441,,,146056338.028169,-110.606315612793,,,
148239436.619718,-100.398727416992,,,148239436.619718,-107.826789855957,,,
150422535.211268,-104.078666687012,,,150422535.211268,-111.016677856445,,,
152605633.802817,-102.331344604492,,,152605633.802817,-109.781845092773,,,
154788732.394366,-102.625541687012,,,154788732.394366,-111.391334533691,,,
156971830.985915,-101.304885864258,,,156971830.985915,-110.190948486328,,,
159154929.577465,-103.667129516602,,,159154929.577465,-110.738288879395,,,
161338028.169014,-101.33479309082,,,161338028.169014,-108.735809326172,,,
163521126.760563,-103.39395904541,,,163521126.760563,-110.43090057373,,,
165704225.352113,-96.7783279418945,,,165704225.352113,-110.416473388672,,,
167887323.943662,-102.058403015137,,,167887323.943662,-110.34944152832,,,
170070422.535211,-102.162261962891,,,170070422.535211,-110.09886932373,,,
172253521.126761,-99.3994140625,,,172253521.126761,-109.374641418457,,,
