Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,02/13/2025,,,Date,02/13/2025,,,
Time,12:51:39,,,Time,12:51:39,,,
LATITUDE,0,0,0.000,,LATITUDE,0,0,0.000,,
LONGITUDE,0,0,0.000,,LONGITUDE,0,0,0.000,,
ALTITUDE,0.0,,ALTITUDE,0.0,,
Instrument,FPH - 103490/026,,,Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,825000000,Hz,,Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,1550000000,Hz,,Span,1550000000,Hz,,
Ref Level,-40,dBm,,Ref Level,-40,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Noise,,,RF Attenuation,Auto Low Noise,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000,Hz,,RBW,3000,Hz,,
VBW,3000,Hz,,VBW,3000,Hz,,
SWT,8,s,,SWT,8,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,Trace Mode,Average,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,- - -,,,Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
,,,,Average Count,Sweep 50 of 50,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
50000000,-102.849952697754,,,50000000,-111.186370849609,,,
52183098.5915493,-101.452606201172,,,52183098.5915493,-111.00146484375,,,
54366197.1830986,-101.30827331543,,,54366197.1830986,-111.672050476074,,,
56549295.7746479,-104.705558776855,,,56549295.7746479,-111.152412414551,,,
58732394.3661972,-101.467247009277,,,58732394.3661972,-111.833961486816,,,
60915492.9577465,-103.781776428223,,,60915492.9577465,-111.107666015625,,,
63098591.5492958,-104.763282775879,,,63098591.5492958,-111.094314575195,,,
65281690.1408451,-103.205360412598,,,65281690.1408451,-110.76985168457,,,
67464788.7323944,-105.003051757813,,,67464788.7323944,-111.377586364746,,,
69647887.3239437,-102.806632995605,,,69647887.3239437,-112.61351776123,,,
71830985.915493,-104.826026916504,,,71830985.915493,-110.912216186523,,,
74014084.5070423,-102.713722229004,,,74014084.5070423,-111.255218505859,,,
76197183.0985916,-102.310539245605,,,76197183.0985916,-111.647010803223,,,
78380281.6901408,-103.234062194824,,,78380281.6901408,-111.551933288574,,,
80563380.2816902,-104.437149047852,,,80563380.2816902,-112.415031433105,,,
82746478.8732394,-104.89794921875,,,82746478.8732394,-111.977493286133,,,
84929577.4647887,-103.102081298828,,,84929577.4647887,-110.643661499023,,,
87112676.056338,-103.817192077637,,,87112676.056338,-111.004776000977,,,
89295774.6478873,-102.148620605469,,,89295774.6478873,-109.036033630371,,,
91478873.2394366,-104.081787109375,,,91478873.2394366,-111.811553955078,,,
93661971.8309859,-101.585945129395,,,93661971.8309859,-111.309928894043,,,
95845070.4225352,-105.284538269043,,,95845070.4225352,-110.301712036133,,,
98028169.0140845,-100.482727050781,,,98028169.0140845,-108.846717834473,,,
100211267.605634,-103.083625793457,,,100211267.605634,-110.387275695801,,,
102394366.197183,-100.944892883301,,,102394366.197183,-109.827766418457,,,
104577464.788732,-102.428771972656,,,104577464.788732,-110.873313903809,,,
106760563.380282,-101.115036010742,,,106760563.380282,-110.138465881348,,,
108943661.971831,-103.120544433594,,,108943661.971831,-109.654899597168,,,
111126760.56338,-101.634376525879,,,111126760.56338,-109.903770446777,,,
113309859.15493,-103.169059753418,,,113309859.15493,-110.612762451172,,,
115492957.746479,-100.437965393066,,,115492957.746479,-109.711837768555,,,
117676056.338028,-102.037994384766,,,117676056.338028,-109.175827026367,,,
119859154.929577,-94.1716003417969,,,119859154.929577,-106.260231018066,,,
122042253.521127,-98.2433013916016,,,122042253.521127,-108.882453918457,,,
124225352.112676,-100.07462310791,,,124225352.112676,-109.48698425293,,,
126408450.704225,-98.1326446533203,,,126408450.704225,-108.332717895508,,,
128591549.295775,-100.179504394531,,,128591549.295775,-108.80647277832,,,
130774647.887324,-97.1520156860352,,,130774647.887324,-108.850624084473,,,
